Network 0 1000 2000 null
InDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:19.894 [13, 84, 140, 188, 211, 140, 118, 55, 31, 14, 5, 1]
Links
332 500 false null null
213 937 false null null
242 247 false null null
944 517 false null null
918 764 false null null
847 992 false null null
607 887 false null null
530 41 false null null
740 952 false null null
418 459 false null null
493 160 false null null
888 922 false null null
771 933 false null null
751 772 false null null
581 923 false null null
253 631 false null null
491 720 false null null
320 720 false null null
618 285 false null null
616 769 false null null
799 754 false null null
291 380 false null null
729 492 false null null
921 232 false null null
979 431 false null null
539 116 false null null
440 783 false null null
444 794 false null null
943 507 false null null
276 483 false null null
986 954 false null null
655 779 false null null
532 956 false null null
205 450 false null null
410 508 false null null
519 305 false null null
671 801 false null null
633 637 false null null
126 678 false null null
246 426 false null null
101 606 false null null
105 190 false null null
611 462 false null null
744 795 false null null
627 859 false null null
432 163 false null null
370 452 false null null
758 919 false null null
459 923 false null null
640 830 false null null
559 800 false null null
148 147 false null null
791 533 false null null
31 846 false null null
732 974 false null null
528 333 false null null
529 910 false null null
883 692 false null null
841 342 false null null
373 499 false null null
367 396 false null null
980 120 false null null
338 962 false null null
218 682 false null null
751 454 false null null
439 534 false null null
908 794 false null null
988 755 false null null
974 454 false null null
619 366 false null null
276 898 false null null
735 690 false null null
593 935 false null null
576 566 false null null
703 771 false null null
580 267 false null null
714 856 false null null
984 848 false null null
866 990 false null null
797 433 false null null
628 855 false null null
445 534 false null null
907 641 false null null
781 652 false null null
590 822 false null null
955 681 false null null
915 609 false null null
833 641 false null null
575 303 false null null
844 114 false null null
541 912 false null null
857 882 false null null
657 996 false null null
445 932 false null null
348 966 false null null
569 580 false null null
812 560 false null null
985 953 false null null
837 910 false null null
770 96 false null null
920 579 false null null
868 961 false null null
800 188 false null null
264 684 false null null
501 948 false null null
315 515 false null null
924 885 false null null
894 131 false null null
762 47 false null null
417 308 false null null
747 503 false null null
867 271 false null null
851 880 false null null
936 179 false null null
349 752 false null null
827 988 false null null
755 832 false null null
961 958 false null null
819 460 false null null
917 443 false null null
277 852 false null null
662 516 false null null
179 572 false null null
950 904 false null null
834 677 false null null
552 431 false null null
588 790 false null null
975 221 false null null
894 791 false null null
841 531 false null null
388 929 false null null
270 94 false null null
830 938 false null null
731 675 false null null
222 540 false null null
920 111 false null null
784 787 false null null
633 584 false null null
601 117 false null null
908 815 false null null
162 449 false null null
91 807 false null null
645 689 false null null
524 808 false null null
787 955 false null null
428 563 false null null
946 975 false null null
577 565 false null null
944 754 false null null
957 973 false null null
402 990 false null null
425 918 false null null
897 869 false null null
499 816 false null null
317 258 false null null
378 513 false null null
621 998 false null null
830 760 false null null
758 960 false null null
613 878 false null null
772 998 false null null
961 995 false null null
672 265 false null null
950 454 false null null
922 705 false null null
729 727 false null null
786 592 false null null
460 296 false null null
702 758 false null null
999 806 false null null
