Network 0 1000 2000 null
InDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:19.894 [13, 84, 140, 188, 211, 140, 118, 55, 31, 14, 5, 1]
Links
671 636 false null null
831 946 false null null
444 690 false null null
794 506 false null null
841 874 false null null
645 944 false null null
756 514 false null null
691 939 false null null
750 974 false null null
763 525 false null null
569 717 false null null
867 892 false null null
522 473 false null null
262 982 false null null
991 654 false null null
374 821 false null null
839 715 false null null
708 284 false null null
455 782 false null null
907 828 false null null
805 639 false null null
918 402 false null null
996 718 false null null
911 292 false null null
789 961 false null null
934 780 false null null
786 951 false null null
563 852 false null null
75 942 false null null
975 726 false null null
465 475 false null null
644 247 false null null
929 878 false null null
166 558 false null null
252 798 false null null
649 866 false null null
898 798 false null null
987 124 false null null
980 665 false null null
928 655 false null null
436 155 false null null
787 364 false null null
214 153 false null null
535 222 false null null
441 864 false null null
487 29 false null null
452 983 false null null
733 817 false null null
509 562 false null null
841 848 false null null
600 298 false null null
727 453 false null null
956 756 false null null
381 266 false null null
650 953 false null null
598 985 false null null
212 999 false null null
675 986 false null null
762 922 false null null
681 973 false null null
363 919 false null null
602 382 false null null
55 780 false null null
370 843 false null null
849 690 false null null
207 527 false null null
728 644 false null null
549 324 false null null
978 552 false null null
699 669 false null null
764 787 false null null
203 994 false null null
862 702 false null null
606 747 false null null
257 936 false null null
932 327 false null null
418 758 false null null
653 898 false null null
939 823 false null null
390 856 false null null
927 708 false null null
674 477 false null null
916 987 false null null
825 846 false null null
776 56 false null null
504 931 false null null
545 354 false null null
994 264 false null null
964 330 false null null
845 277 false null null
517 494 false null null
764 718 false null null
95 876 false null null
929 630 false null null
495 405 false null null
967 990 false null null
224 790 false null null
174 864 false null null
636 768 false null null
465 276 false null null
940 926 false null null
709 764 false null null
701 987 false null null
576 907 false null null
518 784 false null null
569 540 false null null
374 970 false null null
316 955 false null null
597 591 false null null
902 189 false null null
790 437 false null null
991 805 false null null
924 742 false null null
469 358 false null null
118 328 false null null
938 605 false null null
63 959 false null null
403 618 false null null
243 911 false null null
743 281 false null null
433 413 false null null
833 815 false null null
999 588 false null null
666 227 false null null
893 313 false null null
571 997 false null null
888 686 false null null
464 941 false null null
806 768 false null null
31 967 false null null
986 790 false null null
852 751 false null null
635 588 false null null
900 847 false null null
973 873 false null null
710 606 false null null
807 899 false null null
138 922 false null null
635 765 false null null
67 767 false null null
144 835 false null null
388 678 false null null
663 990 false null null
794 999 false null null
405 589 false null null
648 412 false null null
839 198 false null null
667 188 false null null
802 626 false null null
817 551 false null null
909 597 false null null
752 120 false null null
148 592 false null null
656 870 false null null
352 210 false null null
749 646 false null null
646 819 false null null
644 948 false null null
239 968 false null null
983 856 false null null
982 913 false null null
454 192 false null null
886 318 false null null
968 646 false null null
43 141 false null null
625 770 false null null
904 489 false null null
950 733 false null null
832 362 false null null
787 938 false null null
